benchmark_name,num_conjunct,num_synth_call,time_synth_call,num_soundness_call,time_soundness_call,num_precision_call,time_precision_call,time_last_call,time_last_iter,time_total
application2/ArrayList/get_add,2,12,4.90,23,6.99,13,4.93,1.14,5.44,16.81
application2/ArrayList/size_new,1,2,0.59,6,1.70,5,1.66,0.67,0.59,3.95
application2/ArrayList/size_add,1,4,1.41,9,2.85,6,2.13,0.74,1.97,6.39
application2/ArraySet/size_new,1,2,0.73,6,2.07,5,1.76,0.70,0.70,4.56
application2/ArraySet/size_add,2,7,2.59,13,4.50,8,3.33,1.20,0.78,10.42
application2/ArraySet/contains_new,1,2,0.62,6,2.00,5,1.75,0.68,0.66,4.38
application2/ArraySet/contains_add,2,5,1.79,13,4.50,10,3.90,1.20,0.74,10.19
application2/ArraySet/remove_new,1,1,0.35,6,1.32,6,2.18,0.69,0.53,3.85
application2/ArraySet/remove_add,2,7,3.21,14,6.38,9,16.16,9.55,5.35,25.75
application2/HashMap/get_new,1,2,0.69,6,2.41,5,2.26,0.83,0.76,5.36
application2/HashMap/get_put,3,14,6.22,27,295.04,16,189.98,157.73,119.87,491.24
application2/HashMap/put_put,1,5,2.08,11,383.19,7,413.32,215.82,110.47,798.59
