benchmark_name,num_conjunct,num_synth_call,time_synth_call,num_soundness_call,time_soundness_call,num_precision_call,time_precision_call,time_last_call,time_last_iter,time_total
application2/ArrayList/get_add,2,11,4.01,21,6.50,12,5.03,1.28,2.15,15.53
application2/ArrayList/size_new,1,2,0.97,5,1.83,4,1.49,0.85,0.88,4.29
application2/ArrayList/size_add,1,4,1.29,9,2.63,6,2.13,0.74,1.92,6.04
application2/ArraySet/size_new,1,2,0.66,6,1.79,5,1.71,0.69,0.65,4.17
application2/ArraySet/size_add,2,7,2.50,14,4.76,9,3.58,1.15,0.70,10.84
application2/ArraySet/contains_new,1,2,0.65,6,2.03,5,1.79,0.72,0.71,4.47
application2/ArraySet/contains_add,2,5,1.75,12,4.19,9,3.44,1.17,0.76,9.37
application2/ArraySet/remove_new,1,1,0.35,5,1.07,5,1.91,0.77,0.60,3.33
application2/ArraySet/remove_add,2,7,3.29,15,6.55,10,13.64,7.19,4.19,23.48
application2/HashMap/get_new,1,2,0.72,6,2.51,5,2.50,1.06,0.88,5.73
application2/HashMap/get_put,3,12,5.41,24,381.38,15,391.30,228.85,168.37,778.09
application2/HashMap/put_put,1,4,1.60,9,220.95,6,483.02,344.03,209.31,705.57
