benchmark_name,num_conjunct,num_synth_call,time_synth_call,num_soundness_call,time_soundness_call,num_precision_call,time_precision_call,time_last_call,time_last_iter,time_total
application2/ArrayList/get_add,2,12,3.96,23,6.56,13,4.79,1.09,5.19,15.32
application2/ArrayList/size_new,1,2,0.54,6,1.60,5,1.52,0.60,0.56,3.65
application2/ArrayList/size_add,1,4,1.24,9,2.52,6,1.99,0.65,1.84,5.75
application2/ArraySet/size_new,1,2,0.60,6,1.78,5,1.58,0.63,0.59,3.96
application2/ArraySet/size_add,2,7,2.38,13,4.15,8,2.92,1.10,0.69,9.46
application2/ArraySet/contains_new,1,2,0.59,6,1.75,5,1.60,0.65,0.62,3.94
application2/ArraySet/contains_add,2,5,1.63,12,3.81,9,3.20,1.07,0.68,8.64
application2/ArraySet/remove_new,1,1,0.34,6,1.28,6,2.11,0.67,0.54,3.74
application2/ArraySet/remove_add,2,7,3.03,13,5.30,8,13.50,7.43,4.41,21.84
application2/HashMap/get_new,1,2,0.68,6,2.44,5,2.28,0.86,0.76,5.40
application2/HashMap/get_put,3,13,5.62,26,241.80,16,150.81,104.10,65.72,398.23
application2/HashMap/put_put,1,5,2.02,11,398.20,7,362.23,259.47,163.56,762.45
